61010401,ARRIENDOS OFICINAS
61010402,ARRIENDOS INMUEBLES
61010403,ARRIENDOS VEHICULOS
61010501,TELEFONIA
61010502,REDES Y TELECOMUNICACIONES
61010503,DOMINIO INTERNET
61010601,SERVICIOS AUDITORIAS
61010602,SERVICIOS LEGALES
61010603,SERVICIOS INFORMATICOS
61010604,SERVICIOS PREVENCIONISTAS DE RIESGOS
61010605,SERVICIOS DE ADMINISTRACION
61010640,ASESORIAS EXTERNAS
61010701,LUZ
61010702,AGUA
61010703,CONTRIBUCIONES Y ASEO
61010704,VIGILANCIA Y SEGURIDAD
61010705,ESTACIONAMIENTOS
61010706,CORRESPONDENCIAS
61010707,ARTICULOS DE OFICINAS
61010708,ARTICULOS DE ASEO
61010709,PASAJES AEREOS
61010710,PASAJES TERRESTRES
61010711,PUBLICIDAD Y MARKETING
61010712,PATENTES COMERCIALES
61010713,CREDITOS FISCAL (GASTOS)
61010714,MANTENCIONES INMUEBLES
61010715,GASTOS NOTARIALES
61010716,DONACIONES
61010717,INFRACCIONES Y MULTAS
61010718,ADVENIMIENTOS Y CAUSAS JUDICIALES
61010719,INDEMNIZACIONES CLIENTES
61010720,IMPUESTOS DE TIMBRES Y ESTAMPILLAS
61010721,GASTOS COMUNES
61010722,INSUMOS-ARRIENDO IMPRESORAS
61010723,INSUMOS Y EQUIPOS  COMPUTACION
61010724,SERVICIOS DE ASEO
61010750,GASTOS GENERALES
61010751,ARRIENDO DE EQUIPOS
61010752,GASTOS REEMBOLSABLES
61011801,AMORTIZACIONES DEL EJERCICIO
71010101,INTERESES BCOS. E INST. FINANCIERAS
71010102,OTROS INTERESES GANADOS
71010103,DESCUENTOS GANADOS POR OPERACIONES
71010301,UTILIDAD EN VENTA DE ACTIVO FIJO
71010302,OTROS INGRESOS
71010401,DIF.CAMBIO GAN. POR US$
71010402,DIF.CAMBIO GAN. POR UF - IPC
71010403,DIF.CAMBIO GAN. POR FORWARD
71010404,DIF.CAMBIO GAN. POR OTRAS MONEDAS
81010101,INTERESES BCOS. E INST. FINANCIERAS
81010102,INTERESES LEASING
81010103,GASTOS BANCARIOS
81010104,COMISIONES BANCARIAS
81010105,COMISIONES TRANSBANK
81010301,REAJUSTES Y DIF.CAMBIO PAGADAS POR US$
81010302,REAJUSTES Y DIF.CAMBIO PAGADAS POR UF
81010303,REAJUSTES Y DIF.CAMBIO PAGADAS POR FORWARD
81010304,REAJUSTES Y DIF.CAMBIO PAGADAS POR OTRAS MONEDAS
81010305,REAJUSTES LEASING UF
81010306,RAJUSTES LEASING MONEDA NACIONAL
81010401,PERDIDA EN VENTA ACTIVO FIJO
